price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,zipcode,lat,long,sqft_living15,sqft_lot15,year_sold,month_sold,day_sold,house_age,was_renovated,years_since_update,log_price,xgb_pred_log,price_pred_xgb,alpha,residual_log,id
475000,5,2.5,2510,8050,1.0,0,0,4,7,1490,1020,98034,47.7212,-122.172,1840,8471,2014,7,7,48,0,48,13.07107218827772,13.096531867980955,487248.6348604196,0.9748616332933834,-0.0254596797032373,2558690150
995000,5,3.25,3970,8029,2.0,0,2,3,9,2970,1000,98177,47.7764,-122.385,2520,8214,2014,11,24,46,0,46,13.81049902116535,13.558046340942385,773008.2863929732,1.2871789572177668,0.2524526802229676,7154200070
1285000,4,3.5,4080,14450,2.0,0,2,3,12,3210,870,98006,47.5519,-122.106,4080,12114,2014,7,30,27,0,27,14.06627005452127,13.894811630249023,1082529.1928509946,1.1870349626468453,0.171458424272247,4139490210
239900,4,2.25,1860,7000,1.0,0,0,3,8,1120,740,98023,47.3127,-122.339,1990,8937,2014,5,16,46,0,46,12.3879816172226,12.470074653625488,260425.1622202099,0.921185948219342,-0.0820930364028882,9264901040
340000,4,1.75,1400,8374,1.0,0,0,3,7,1400,0,98166,47.4735,-122.344,1420,8360,2015,5,11,72,0,72,12.73670383776449,12.572967529296877,288648.24050736934,1.1779042872472305,0.1637363084676142,4273000095
680000,4,2.5,3290,6012,2.0,0,0,3,9,3290,0,98075,47.5961,-121.98,3210,6005,2015,2,13,20,0,20,13.429849547739444,13.527179718017578,749512.5821819095,0.907256283837756,-0.0973301702781341,8691410310
235245,4,2.5,1954,5075,2.0,0,0,3,8,1954,0,98001,47.2606,-122.253,1934,5000,2015,1,27,18,0,18,12.368387054114972,12.512749671936035,271779.4015447958,0.8655733240373111,-0.1443626178210628,6601200020
416000,3,2.5,1800,5372,2.0,0,0,3,8,1800,0,98034,47.7188,-122.177,1650,6014,2014,11,18,38,0,38,12.938442943086663,13.048662185668944,464473.61504075926,0.8956375271467131,-0.1102192425822803,8663260030
420000,4,2.5,2030,8100,1.0,0,0,3,7,1150,880,98034,47.7404,-122.186,1770,8071,2014,7,23,52,0,52,12.948012371209098,12.886486053466797,394937.7835296032,1.0634586446665422,0.0615263177423006,7016300050
257000,3,1.75,1330,36537,1.0,0,0,4,7,1330,0,98092,47.3126,-122.129,1650,35100,2015,2,11,36,0,36,12.456835254920373,12.557780265808104,284297.5694540499,0.9039824029925028,-0.1009450108877345,7968460240
380000,0,0.0,1470,979,3.0,0,2,3,8,1470,0,98133,47.7145,-122.356,1470,1399,2015,2,5,19,0,19,12.847929163278051,12.881972312927246,393159.1494978133,0.966529713184542,-0.034043149649193,3918400017
399000,3,2.0,2100,31550,1.0,0,0,3,8,2100,0,98014,47.6907,-121.917,1860,18452,2014,8,19,15,0,15,12.896719202134523,13.254279136657717,570505.0977496392,0.6993802536977459,-0.3575599345231914,4046500270
339900,3,2.5,1470,4675,2.0,0,0,3,7,1470,0,98065,47.5261,-121.827,1500,4385,2015,1,30,26,0,26,12.736409677721657,12.693915367126465,325758.73099474295,1.0434102532327376,0.0424943105951918,7849202296
585000,4,1.75,1760,5356,1.0,0,0,4,7,920,840,98115,47.679,-122.288,1680,5184,2014,11,5,75,0,75,13.279368835614244,13.256550788879396,571802.5623302691,1.0230804101610655,0.0228180467348479,8585400135
310000,2,1.0,1050,8220,1.0,0,0,4,6,780,270,98155,47.7598,-122.316,1340,7651,2014,10,3,78,0,78,12.644330802262578,12.500995635986328,268603.58582413004,1.154117131567166,0.1433351662762501,6163900411
498000,4,2.75,2270,7375,1.0,0,0,4,7,1290,980,98034,47.7222,-122.168,1750,7760,2014,5,14,52,0,52,13.118357364036902,13.05313491821289,466555.7386872548,1.0673965803126113,0.0652224458240109,2558640110
360000,4,2.5,2080,4080,1.0,0,0,5,7,1040,1040,98144,47.572,-122.29,1340,4080,2014,7,17,63,0,63,12.793862088206213,13.081080436706545,479777.796820082,0.7503473532665393,-0.2872183485003301,9834200885
265000,3,1.5,1780,10196,1.0,0,0,4,7,1270,510,98001,47.3375,-122.291,1320,7875,2015,4,22,58,0,58,12.487488878546143,12.399993896484377,242799.13555937988,1.0914371642611989,0.08749498206177,3876600120
820000,4,2.75,3540,13515,2.0,0,0,3,10,3540,0,98075,47.5945,-121.982,3540,11538,2014,12,8,27,0,27,13.617060838751888,13.598965644836426,805295.3657318121,1.0182599265982677,0.0180951939154621,8691330260
419900,4,2.5,2750,5767,2.0,0,0,3,9,2750,0,98038,47.3595,-122.038,2800,5376,2014,7,29,20,0,20,12.94777424818886,12.92448902130127,410235.46703936096,1.0235585017316695,0.0232852268875891,5416500980
485000,4,1.0,1150,2560,1.5,0,0,3,7,1150,0,98109,47.6368,-122.355,1890,3000,2014,7,18,116,0,116,13.091906231773164,13.192300796508787,536219.5324159424,0.9044802933880974,-0.100394564735625,809002610
683000,5,1.5,1720,4000,1.5,0,0,3,7,1520,200,98112,47.6197,-122.287,2280,4000,2015,4,13,100,0,100,13.434251602680698,13.558568954467772,773412.3770837276,0.8830993920414855,-0.1243173517870754,1778500595
320000,3,2.5,1820,1855,2.0,0,0,3,8,1570,250,98166,47.4643,-122.346,1470,6900,2014,7,16,17,0,17,12.676079399771028,12.576557159423828,289686.24643128784,1.1046433993403355,0.0995222403471984,1220000367
598000,5,2.25,2890,12478,2.0,0,0,3,9,2890,0,98074,47.6295,-122.052,2570,11880,2014,5,20,48,0,48,13.301347705172171,13.388429641723633,652409.7594660234,0.916601861519429,-0.0870819365514599,7504020670
420000,3,2.5,2140,3821,2.0,0,0,3,8,2140,0,98029,47.5541,-121.995,2860,3841,2014,6,24,20,0,20,12.948012371209098,13.291991233825684,592430.9148989816,0.708943421819262,-0.343978862616586,3630110370
535000,3,1.0,1660,5100,1.0,0,0,3,7,1260,400,98136,47.5323,-122.383,1230,5100,2014,8,11,68,0,68,13.190023895035274,12.904619216918944,402164.5975240234,1.3303010839188592,0.2854046781163291,2490200620
415000,3,1.75,1910,12596,1.0,0,0,3,7,1340,570,98072,47.7399,-122.099,1550,13310,2014,6,6,48,0,48,12.936036208848488,12.886634826660156,394996.5442045086,1.050642103301883,0.0494013821883303,1775801340
234975,3,1.75,1650,8073,1.0,0,0,3,7,1100,550,98092,47.3187,-122.182,1280,8073,2015,3,20,45,0,45,12.367238660251337,12.319778442382812,224083.48891609395,1.0486047014734954,0.0474602178685241,1683600240
299000,4,2.5,1950,3000,2.0,0,0,3,7,1950,0,98178,47.4977,-122.226,1170,6000,2014,9,26,23,0,23,12.608202196848836,12.64291763305664,309562.2255305447,0.9658801214765704,-0.0347154362078043,1180002378
455000,3,2.25,1790,7500,1.0,0,0,3,7,1390,400,98034,47.7321,-122.198,1940,7192,2015,4,10,52,0,52,13.02805489573287,13.001358032226562,443013.611798256,1.0270564783621197,0.0266968635063076,7955050170
581000,2,1.0,1170,4080,1.0,0,0,4,7,1170,0,98117,47.6784,-122.386,1560,4586,2015,5,2,116,0,116,13.272507757002964,13.30312442779541,599063.4263324828,0.9698472222831752,-0.0306166707924475,7518507580
960000,5,4.0,3720,15200,2.0,0,0,3,10,3720,0,98075,47.5956,-122.026,4100,19036,2014,5,27,20,0,20,13.774689605110144,13.68505859375,877697.6528805594,1.0937707271397257,0.0896310113601437,1441600020
465000,4,1.75,1470,5350,1.0,0,0,3,7,980,490,98125,47.7048,-122.315,1970,6138,2014,6,11,70,0,70,13.049794835104816,12.89064121246338,396582.2310735931,1.1725184931790622,0.1591536226414369,5101408599
485000,3,1.0,1130,5758,1.0,0,0,3,7,960,170,98199,47.6413,-122.401,1510,6000,2014,10,7,86,0,86,13.091906231773164,13.16061782836914,519496.7863361077,0.9335957656650666,-0.0687115965959765,1370803940
539950,3,2.25,2190,7149,1.0,0,1,4,8,1240,950,98056,47.5243,-122.204,3500,7149,2014,6,9,62,0,62,13.199233673682526,13.246084213256836,565848.9484299885,0.954229925668594,-0.0468505395743097,3342700371
212000,3,1.75,1060,7875,1.0,0,0,4,7,1060,0,98092,47.2761,-122.152,1420,7680,2015,1,5,39,0,39,12.264346270624156,12.215093612670898,201811.35573847612,1.0504859809510776,0.049252657953259,3668000070
1050000,4,4.0,4320,8709,2.0,0,0,3,11,3190,1130,98027,47.5369,-122.07,4010,8321,2014,8,25,19,0,19,13.864301674514206,13.939414978027344,1131906.6781642353,0.9276383117581086,-0.0751133035131381,8562720390
245700,3,2.25,1640,8400,1.0,0,0,3,8,1180,460,98032,47.3733,-122.289,1600,8120,2014,6,25,57,0,57,12.411870628505058,12.427247047424316,249507.19702067485,0.984741133457728,-0.0153764189192582,9835801000
265000,3,1.75,1680,9769,1.0,0,0,3,8,1340,340,98058,47.4631,-122.126,1730,9686,2015,2,24,36,0,36,12.487488878546143,12.65585231781006,313592.3361810855,0.8450461616095567,-0.1683634392639135,8856890020
325500,3,1.5,1540,8110,1.0,0,0,4,7,1190,350,98125,47.7329,-122.291,1290,8110,2014,11,25,66,0,66,12.693120812822665,12.961776733398438,425821.01526236825,0.7644056735890412,-0.2686559205757746,9324800025
499900,4,2.25,2360,7650,1.0,0,0,3,8,1640,720,98155,47.75,-122.292,2320,11060,2015,4,22,62,0,62,13.12216535779974,13.152460098266602,515276.10261232086,0.9701594882154094,-0.0302947404668607,9257900010
539000,3,1.75,1380,3225,1.0,0,0,4,7,940,440,98103,47.6652,-122.338,1250,3750,2015,3,5,110,0,110,13.197472705176985,13.247900009155272,566877.3498464526,0.9508229604622525,-0.0504273039782905,9136103026
550000,4,2.5,1670,5116,2.0,0,0,3,8,1670,0,98155,47.7667,-122.33,1910,7210,2015,4,1,26,0,26,13.21767537538882,13.032995223999023,457253.4160256424,1.2028340975131315,0.1846801513897951,4213910030
757500,5,2.25,3160,8065,2.0,0,0,3,8,3160,0,98027,47.5678,-122.089,2540,7917,2015,1,14,48,0,48,13.537780136496805,13.493612289428713,724770.9186882632,1.0451578291399606,0.0441678470680919,2923500010
501000,2,2.0,1300,2500,1.0,0,0,4,7,770,530,98117,47.6831,-122.373,1160,5000,2015,5,1,99,0,99,13.124363376072994,13.196518898010254,538486.1420829648,0.93038605981955,-0.07215552193726,461002025
355000,2,1.0,840,6720,1.0,0,0,3,7,840,0,98116,47.5707,-122.396,1250,6720,2014,8,18,73,0,73,12.779875885354992,12.815618515014648,367918.1584946485,0.9648884998025004,-0.035742629659655,9277700075
530000,3,2.5,1970,6295,2.0,0,0,3,7,1970,0,98065,47.5158,-121.874,2710,6009,2014,7,29,14,0,14,13.180634172318978,12.941445350646973,417250.88143576815,1.2702190063116463,0.2391888216720055,7853361120
170000,2,1.0,810,8424,1.0,0,0,4,6,810,0,98023,47.3286,-122.346,820,8424,2014,6,27,66,0,66,12.04355959836804,11.826436042785645,136820.9935463185,1.2424993825413884,0.2171235555823951,1788700070
702000,4,2.5,2810,4922,2.0,0,0,3,9,2810,0,98074,47.614,-122.041,2920,4922,2015,3,4,20,0,20,13.46169010750836,13.524060249328612,747178.1410314301,0.9395349802805196,-0.0623701418202546,5411600020
395000,3,2.5,2300,8938,2.0,0,0,3,9,2300,0,98031,47.4181,-122.211,2570,9694,2015,3,11,36,0,36,12.886643575525625,12.86581039428711,386855.999846962,1.021051761265845,0.0208331812385154,1561900180
409000,2,1.75,1480,4000,1.0,0,0,4,6,740,740,98117,47.6916,-122.38,1060,4000,2014,7,29,100,0,100,12.921472880009723,12.94277286529541,417805.1572436896,0.9789252069031932,-0.0212999852856849,3300701440
435000,4,2.5,2190,6578,2.0,0,0,3,7,2190,0,98065,47.5305,-121.847,2190,5416,2014,10,29,21,0,21,12.983103608918752,12.956872940063477,423737.9836545554,1.0265777833941498,0.0262306688552769,7853230590
250000,4,2.0,2600,9000,1.0,0,0,3,8,1410,1190,98032,47.381,-122.299,2600,7200,2014,10,21,66,0,66,12.429220196836384,12.576318740844728,289617.1878423623,0.8632084368420639,-0.1470985440083438,3601800580
469995,4,2.5,2350,3800,2.0,0,0,3,8,2350,0,98059,47.4783,-122.123,2670,4180,2014,8,4,11,0,11,13.060479463011728,13.081995010375977,480216.7905902783,0.9787142165984788,-0.0215155473642489,1438000390
315000,3,2.5,2340,6837,2.0,0,0,3,7,2340,0,98030,47.3608,-122.194,1850,6209,2014,7,10,33,0,33,12.660331092405906,12.648733139038086,311367.7372137021,1.0116655078615449,0.0115979533678203,8700100010
327000,4,1.0,1620,6000,1.5,0,0,5,7,1620,0,98055,47.4763,-122.206,1310,6000,2014,10,23,120,0,120,12.69771850797869,12.57494068145752,289218.35165299504,1.1306336480070098,0.1227778265211707,7231501610
639000,4,2.5,2150,12028,2.0,0,0,4,8,2150,0,98052,47.7224,-122.101,1800,11777,2014,5,20,43,0,43,13.367661298303677,13.160402297973633,519384.830838093,1.2303016223421328,0.2072590003300423,3396200090
702000,3,2.5,2190,8528,1.0,0,0,3,8,1760,430,98033,47.6943,-122.209,2060,9811,2015,5,6,34,0,34,13.46169010750836,13.3622407913208,635545.66120912,1.1045626504072914,0.0994493161875578,1245500099
1443920,4,3.0,3720,5000,2.5,0,0,5,9,2720,1000,98102,47.6282,-122.322,2610,5000,2014,10,6,120,0,120,14.182872887797034,14.137725830078123,1380180.8586454992,1.0461817311515638,0.0451470577189088,9831200520
699000,3,2.5,2580,8154,1.0,0,0,3,10,2090,490,98177,47.7259,-122.361,1660,8155,2014,7,22,69,1,28,13.457407451830088,13.63469696044922,834589.914017675,0.8375370804986706,-0.1772895086191308,923000280
269000,3,2.25,1420,7297,1.0,0,0,3,7,1130,290,98031,47.4046,-122.194,1730,7419,2015,2,22,41,0,41,12.502470376049184,12.451539993286133,255642.70924109188,1.0522498404064051,0.0509303827630525,739800250
1050000,4,4.25,4390,13833,2.0,0,3,3,10,3320,1070,98029,47.5566,-122.026,3850,11652,2014,6,27,22,0,22,13.864301674514206,14.051386833190918,1266016.6627281094,0.8293729702872787,-0.1870851586767123,293760050
645000,4,2.25,2070,8720,1.0,0,0,5,8,1360,710,98033,47.6678,-122.182,2180,8510,2014,12,16,51,0,51,13.377007146164305,13.33937931060791,621180.9484084786,1.0383447877024363,0.0376278355563943,1088020070
425590,3,2.75,1940,3088,2.0,0,3,3,8,1770,170,98065,47.5185,-121.878,1410,2335,2015,2,27,17,0,17,12.961234070169438,13.065349578857422,472289.51771543705,0.9011209947209238,-0.1041155086879843,7853340960
400000,4,2.0,2070,10800,2.0,0,0,3,7,2070,0,98011,47.7264,-122.237,1880,10800,2014,12,4,43,0,43,12.899222326086994,12.98597526550293,436250.9688025055,0.916903407912163,-0.0867529394159358,3819800580
389000,4,1.0,1520,9800,1.5,0,0,4,7,1520,0,98034,47.7303,-122.236,1540,7700,2014,8,6,54,0,54,12.871337193291367,12.934637069702148,414419.76186672953,0.9386618008942728,-0.063299876410781,3211200460
433500,3,1.75,1540,9450,1.0,0,0,4,6,1040,500,98103,47.6985,-122.348,1200,5400,2014,9,4,106,0,106,12.979649382005148,12.965392112731934,427363.30968584825,1.0143594224751369,0.0142572692732141,263000291
429900,4,1.5,1820,17918,1.0,0,0,4,8,1190,630,98056,47.521,-122.179,1890,15241,2015,2,17,63,0,63,12.971310228604022,12.94839572906494,420161.0415491115,1.023179108693613,0.0229144995390804,3345100251
1699000,3,3.25,4160,35153,3.0,0,2,3,12,3690,470,98040,47.5749,-122.214,3290,11533,2014,8,14,24,0,24,14.345550989235416,14.455011367797852,1895533.4109526956,0.89631762235522,-0.1094603785624368,2655500241
220000,3,1.0,1050,6300,1.0,0,0,3,6,1050,0,98146,47.5128,-122.374,740,6300,2014,6,11,83,0,83,12.301387370778713,12.554677963256836,283416.9559477465,0.7762414893785018,-0.2532905924781232,7454001280
299000,5,2.5,2220,9360,1.0,0,0,4,7,1110,1110,98058,47.4341,-122.169,1780,7704,2014,6,18,57,0,57,12.608202196848836,12.654426574707031,313145.551220841,0.9548275517065702,-0.046224377858195,984200690
1050000,3,1.75,2650,5512,2.0,0,0,3,9,2250,400,98112,47.6265,-122.295,1440,5100,2015,2,9,41,0,41,13.864301674514206,13.64267349243164,841273.6763195959,1.2481075178692622,0.2216281820825649,5332200515
154200,4,1.0,1310,8640,1.0,0,0,3,6,910,400,98146,47.5104,-122.342,1310,8640,2015,1,6,77,0,77,11.946012225174645,12.32532024383545,225328.76802001867,0.684333391403891,-0.3793080186608044,7973202225
269500,2,1.0,800,1200,2.0,0,0,3,7,800,0,98103,47.6969,-122.347,806,1200,2014,8,4,26,0,26,12.504327379899443,12.391043663024902,240635.71366965,1.1199501349578374,0.113283716874541,4340610080
779000,3,1.75,2320,6400,1.0,0,2,4,8,1420,900,98199,47.6449,-122.389,2540,7680,2014,8,26,68,0,68,13.565767608549107,13.6048002243042,810007.6651473662,0.9617192941726976,-0.0390326157550902,269000221
262000,1,0.75,520,12981,1.0,0,0,5,3,520,0,98022,47.2082,-121.995,1340,12233,2015,2,25,105,0,105,12.476103599529845,12.086725234985352,177498.8841081124,1.4760656176318214,0.3893783645444912,2420069251
957000,5,3.25,3160,5000,2.0,0,2,3,10,2180,980,98199,47.6464,-122.405,3160,5746,2014,6,25,20,0,20,13.771559715366624,14.11501407623291,1349187.7936767142,0.7093156375155524,-0.3434543608662856,2225039130
340000,2,1.0,1280,9690,1.0,0,0,4,6,640,640,98118,47.5341,-122.279,1630,15884,2014,10,28,106,0,106,12.73670383776449,12.397294044494627,242144.49524390875,1.4041202946097238,0.3394097932698603,3904100065
402000,3,3.5,1240,1666,2.0,0,0,3,7,1000,240,98136,47.5496,-122.388,1110,1027,2014,6,12,17,0,17,12.904209855160254,12.759133338928224,347712.22012946947,1.1561284784593324,0.1450765162320308,7625702263
520000,3,2.25,2590,9263,1.0,0,0,5,8,1440,1150,98028,47.7691,-122.262,2580,9450,2014,11,5,48,0,48,13.161586013632684,13.198046684265137,539309.4641069609,0.964195947981489,-0.0364606706324526,4140090240
618000,4,2.25,2530,8736,1.0,0,0,4,7,1210,1320,98008,47.6049,-122.126,1720,8500,2014,7,30,67,0,67,13.334245354561496,13.240233421325684,562547.9442782939,1.0985730305935912,0.0940119332358122,4037400295
750000,4,3.25,2050,5000,2.0,0,0,4,8,1370,680,98112,47.6235,-122.298,1720,5000,2014,6,9,38,0,38,13.527829818844936,13.431190490722656,680912.4542073354,1.1014631842401692,0.096639328122281,5016001285
650000,2,2.5,1470,690,3.0,0,3,3,8,1470,0,98103,47.6523,-122.346,1480,1284,2015,4,9,17,0,17,13.384729180332174,13.232049942016602,557963.1221179343,1.1649515429132828,0.1526792383155726,1972201772
268000,3,1.75,1970,10270,1.0,0,0,4,8,1970,0,98032,47.3619,-122.285,1970,8400,2014,6,3,59,0,59,12.498745990829317,12.535890579223633,278141.98061734374,0.9635366779411244,-0.0371445883943177,1310700210
339000,3,1.5,1740,21980,1.0,0,0,4,7,1740,0,98042,47.3644,-122.132,1400,16100,2015,4,16,52,0,52,12.733758336210744,12.475127220153809,261744.312471427,1.295157082112363,0.2586311160569359,2622059138
280000,4,2.0,1710,5440,1.0,0,0,5,8,1030,680,98042,47.366,-122.093,1620,6696,2014,10,17,49,0,49,12.54254845357358,12.453792572021484,256219.21589389667,1.0928142099847469,0.0887558815520961,8651443420
380000,3,2.0,2010,16736,2.0,0,0,4,6,2010,0,98133,47.7643,-122.352,1890,11477,2014,7,31,96,0,96,12.847929163278051,12.809121131896973,365535.39600850135,1.0395710077586091,0.0388080313810803,7287100035
358000,3,2.25,1610,6655,2.0,0,0,4,7,1610,0,98058,47.4296,-122.161,1780,7529,2015,2,18,40,0,40,12.788291058675023,12.569269180297852,287582.686487526,1.2448593633105531,0.2190218783771733,2459500310
1430000,5,4.25,3350,3600,2.0,0,0,3,10,2260,1090,98119,47.6351,-122.364,1810,3600,2014,10,29,11,0,11,14.173185701536545,14.21051025390625,1484382.7395820585,0.9633633980428992,-0.0373245523697054,4232900310
209950,4,1.0,1630,8400,1.0,0,0,3,6,1630,0,98023,47.3052,-122.362,1190,8989,2014,7,22,63,0,63,12.254629449139816,12.17849063873291,194557.9806975713,1.0791127624127363,0.0761388104069045,8945000260
260000,3,1.75,1340,8000,1.0,0,0,3,7,1340,0,98038,47.3651,-122.044,1690,8000,2014,8,20,45,0,45,12.468440756144114,12.408038139343262,244760.1557023668,1.0622644002407204,0.060402616800852,1545806510
579000,3,2.5,2300,18540,1.0,0,0,3,8,1800,500,98177,47.7767,-122.369,2460,18540,2014,12,31,64,0,64,13.269059483669356,13.222700119018556,552770.5688910055,1.047450845947926,0.0463593646508027,6649900301
650000,3,1.75,1940,10245,1.0,0,0,3,7,1940,0,98040,47.5833,-122.241,2720,11448,2014,12,18,68,0,68,13.384729180332174,13.415629386901855,670398.7041873023,0.969572279809176,-0.0309002065696812,5315100805
562500,5,2.75,2920,6327,2.0,0,0,3,8,2920,0,98059,47.4935,-122.145,2520,5026,2014,9,23,18,0,18,13.24014819083691,13.1282320022583,502941.9394844698,1.1184193558735207,0.1119161885786095,7708200880
430000,3,1.75,1200,4500,1.0,0,0,5,7,1200,0,98108,47.5553,-122.316,1340,4500,2014,5,20,119,0,119,12.971542813248435,12.80838394165039,365266.0254434689,1.1772241874341796,0.1631588715980463,7925100271
329000,4,2.0,1190,7877,1.5,0,0,5,7,1190,0,98155,47.7538,-122.322,1480,9975,2014,12,11,79,0,79,12.703816069256568,12.823362350463867,370778.32394901966,0.8873226365984545,-0.1195462812072989,6163901061
550000,3,2.25,2160,37000,1.5,0,0,4,7,1760,400,98052,47.7297,-122.139,2540,37000,2014,9,29,92,0,92,13.21767537538882,13.113545417785645,495609.4022816132,1.1097448867353836,0.104129957603174,3404700041
650000,4,2.0,2850,4497,1.5,0,1,3,7,1730,1120,98144,47.5876,-122.292,2450,6000,2014,11,18,115,0,115,13.384729180332174,13.391169548034668,654199.754913379,0.9935803172015326,-0.0064403677024937,161000120
675000,3,2.25,2070,2833,2.0,0,2,3,8,1490,580,98136,47.5543,-122.398,1940,3794,2014,12,5,59,0,59,13.42246945133505,13.232321739196776,558114.7958042716,1.2094286069361249,0.1901477121382733,7649400170
455000,2,1.0,1170,6000,1.0,0,0,4,7,970,200,98103,47.6994,-122.354,2130,6002,2014,6,2,84,0,84,13.02805489573287,13.055665969848633,467738.1135786141,0.9727665691359718,-0.0276110741157626,1529300115
665000,6,3.0,2480,9720,2.0,0,0,3,8,2480,0,98007,47.6127,-122.145,2480,9200,2015,1,30,53,0,53,13.407543823396258,13.371050834655762,641169.5919967961,1.0371670901126,0.0364929887404965,6918720100
780000,5,2.5,1660,4000,1.5,0,0,5,8,1660,0,98109,47.6452,-122.352,1210,4000,2014,10,16,96,0,96,13.567050480716237,13.554384231567385,770182.6189478608,1.0127468223907086,0.012666249148852,5244800915
450000,4,2.5,1900,9240,1.0,0,0,3,7,1900,0,98007,47.6167,-122.137,2040,8052,2015,4,5,63,0,63,13.017005083966255,13.139896392822266,508842.8104891274,0.8843595521521381,-0.1228913088560101,1560800150
1005000,5,2.0,2440,3080,2.0,0,0,4,8,2440,0,98112,47.6242,-122.306,1640,3077,2014,11,6,115,0,115,13.820499094499691,13.65170192718506,848903.4605219634,1.183880201621581,0.1687971673146346,5191100180
510000,2,1.75,1210,131115,1.5,0,0,5,7,1210,0,98070,47.4599,-122.45,2020,185565,2014,7,17,75,0,75,13.1421679654829,12.835190773010254,375190.09919697465,1.3593109228936509,0.3069771924726456,2923039017
515000,4,2.25,2200,6967,2.0,0,0,3,8,2200,0,98011,47.7355,-122.202,1970,7439,2015,3,18,39,0,39,13.15192412139156,13.148983001708984,513487.5456672077,1.002945454754559,0.0029411196825765,6204200470
263000,3,1.75,1570,7775,2.0,0,0,3,7,1570,0,98031,47.3876,-122.216,1580,8622,2014,5,20,43,0,43,12.479913113434042,12.435775756835938,251644.28025576007,1.0451260792921595,0.0441373565981049,3832150190
799950,3,2.25,1860,1386,3.0,0,0,3,9,1860,0,98112,47.6368,-122.279,1680,3080,2014,8,12,11,0,11,13.592305754774207,13.723796844482422,912365.310334161,0.8767869524839913,-0.1314910897082146,4385700185
285000,3,2.0,1460,6377,1.0,0,0,3,7,1460,0,98038,47.3679,-122.02,1600,6250,2014,6,25,30,0,30,12.560247968016562,12.497857093811035,267761.8805577138,1.0643785418834877,0.0623908742055263,9407150100
449000,4,2.0,1870,6000,1.5,0,0,3,7,1870,0,98125,47.7155,-122.315,1520,7169,2015,1,26,69,0,69,13.014780393893403,12.913043022155762,405566.6712761457,1.107092943774665,0.1017373717376415,2044500213
205000,4,2.0,2200,13320,1.0,0,0,3,6,1100,1100,98168,47.481,-122.292,1330,6099,2014,7,29,81,0,81,12.230770136157428,12.385960578918455,239415.64050920756,0.856251494530559,-0.1551904427610289,1623049133
553000,3,1.0,1310,18135,1.0,0,0,3,7,1310,0,98008,47.6065,-122.113,2150,18135,2015,1,7,77,0,77,13.223115088821102,13.105817794799805,491794.2718750241,1.1244539264185038,0.1172972940212968,3625059166
1600000,3,2.5,3160,12824,1.0,0,2,4,9,1820,1340,98004,47.6151,-122.216,3390,11985,2014,5,22,59,0,59,14.285514812209817,14.194589614868164,1460937.5284549568,1.0951871444442334,0.0909251973416509,4389200796
